dirid,fullname,ethnicity
49799.0,WILLIAM G YATES JR,Unknown
49806.0,DONALD J EDWARDS,Unknown
49808.0,MICHAEL T WILLIS,Unknown
49809.0,NUALA BECK,Unknown
49810.0,BRUCE V RAUNER,Unknown
49811.0,MICHAEL T REDDY,Unknown
49812.0,CHARLES R SCHNEIDER,Unknown
49814.0,AUSTIN P YOUNG,Unknown
49817.0,HANS C MAUTNER,Unknown
49825.0,WILLIAM I RUMER,Unknown
49828.0,KARL H LORING,Unknown
49840.0,ER PICKARD,Unknown
49841.0,JAMES J GALLOGLY,Unknown
49843.0,LD BEARD,Unknown
49846.0,YVES PAUL COTREL,Unknown
49847.0,SAMUEL F HULBERT,Unknown
49848.0,MARIE-HELENE PLAIS,Unknown
49849.0,GEORGE F RAPP,Unknown
49851.0,JOHN T. MCDONALD,Caucasian
49852.0,DAVID S. LUNDEEN,Caucasian
49854.0,KENNETH R JOHNSEN,Unknown
49855.0,DANIEL D. BURGESS,Caucasian
49856.0,DAVID S KABAKOFF,Unknown
49857.0,BETSY BERNARD,Caucasian
49858.0,CHARLES G SMITH,Unknown
49859.0,DAVID F. HALE,Caucasian
49860.0,WALTER F SPATH,Unknown
49863.0,JOSEPH W PEPPER,Unknown
49870.0,PAUL SCOTT LEWIS,Caucasian
49871.0,GEOFFREY WHALEN,Caucasian
49896.0,ANDREW W CLARKSON,Unknown
49905.0,TAKUYA OKADA,
49906.0,ARNOLD B ZETCHER,Caucasian
49907.0,EIJI AKIYAMA,
49908.0,MASAHARU ISOGAI,
49909.0,MOTOYA OKADA,
49910.0,MARK SHULMAN,Caucasian
49913.0,KEVIN B VITALE,Unknown
49915.0,ROBERT A ARMITAGE,Unknown
49916.0,THOMAS M MATTHEWS,Caucasian
49921.0,CRAIG A ROSEN,Caucasian
49924.0,WILLIAM A HASELTINE,Caucasian
49926.0,ROBERT D HORMATS,Unknown
49927.0,MICHAEL R. MINOGUE,Caucasian
49930.0,PATRICIA A WOERTZ,Unknown
49931.0,DANIEL L DIENSTBIER,Unknown
49942.0,WILLIAM S PRICE III,Unknown
49943.0,DONALD L STURM,Unknown
49946.0,JOHN A. GORDON,Caucasian
49947.0,ROBERT L LAWRENCE,Unknown
49948.0,RANDY MICHAELS,Unknown
49951.0,RICHARD WHITE,Caucasian
49952.0,JACKIE M. CLEGG,Unknown
49961.0,MICHAEL W PIERCE,Caucasian
49962.0,BLAINE E HURST,Caucasian
49964.0,MOLLY DICKINSON SHEPARD,Unknown
49965.0,ALLAN W HOLMAN JR,Unknown
49966.0,MARK L PULASKI,Unknown
49967.0,WILLIAM E. CHILES,Caucasian
49968.0,THOMAS C. KNUDSON,Caucasian
49984.0,DONALD E KUHLA,Unknown
49987.0,WILLIAM S LEVINE,Unknown
49988.0,BRIAN J O'CONNOR,Unknown
49989.0,ARTURO R MORENO,Unknown
49990.0,STEPHEN F BUTTERFIELD,Unknown
49991.0,DAVID C RUBERG,Unknown
49992.0,JOHN D BAKER,Unknown
49994.0,GEORGE F KNAPP,Unknown
49995.0,PHILIP A CAMPBELL,Unknown
49997.0,FRANK N LINSALATA,Unknown
50005.0,STEWART H JOHNSON,Caucasian
50007.0,RUSSELL D HAYS,Unknown
50016.0,JOHN M THOMPSON,Caucasian
50027.0,GORDON E FORNELL,Unknown
50032.0,KAZUHIRO HASHIMOTO,
50034.0,CHARLES CONNOLLY,Caucasian
50045.0,ROBERT J CURREY,Unknown
50048.0,LAWRENCE S. COBEN,Caucasian
50059.0,ERIC FORD,Caucasian
50068.0,DONALD L EVANS,Unknown
50069.0,THOMAS C BROWN,Unknown
50070.0,WILLIAM R GRANBERRY,Unknown
50072.0,HENRY GROPPE,Unknown
50074.0,EDWARD W LEBARON JR,Unknown
50075.0,JAMES B WALLACE,Unknown
50080.0,CLYDE E MCKENZIE,Unknown
50089.0,MARIE V MCDEMMOND,
50092.0,KEVIN M O'KEEFE,Caucasian
50094.0,LELAND F WILSON,Unknown
50095.0,VIRGIL A PLACE,Unknown
50096.0,BRIAN H DOVEY,Unknown
50101.0,CHRISTOS M COTSAKOS,Unknown
50107.0,JOHN P POGGE,Caucasian
50108.0,ROYCE J HOLLAND,Unknown
50109.0,SANJAY KHOSLA,Asian
50117.0,KURT L. DARROW,Caucasian
50118.0,WILLIAM S KAISER,Unknown
50124.0,PETER R. HANLEY,Caucasian
50130.0,RICHARD S. GRANT,Caucasian
50131.0,ARYEH FINEGOLD,Unknown
50132.0,JOHN L BUNCE JR,Unknown
50134.0,MITCHELL R COHEN,Unknown
50136.0,JAMES R GERRITY,Caucasian
50137.0,RICHARD L KEISTER,Caucasian
50142.0,DAVID J STONE,Unknown
50143.0,DAVID C SMITH,Unknown
50144.0,STEVEN W FICKES,Unknown
50145.0,THOMAS A PLAYER,Unknown
50146.0,ALAN D GREENBERG,Unknown
50147.0,MAURICE W SLAYTON,Unknown
50156.0,PAUL N SCHWARTZ,Caucasian
50161.0,DALE L PETERSON,Unknown
50162.0,HALSEY M MINOR,Unknown
50163.0,SHELBY W BONNIE,Unknown
50164.0,DOUGLAS N WOODRUM,Unknown
50166.0,ERIC ROBISON,Unknown
50168.0,I JON BRUMLEY,Unknown
50170.0,GUY J TURCOTTE,Unknown
50171.0,KEVIN P REILLY JR,Caucasian
50172.0,KEITH A ISTRE,Unknown
50173.0,CHARLES W LAMAR III,Unknown
50174.0,GERALD H MARCHAND,Unknown
50177.0,T EVERETT STEWART JR,Unknown
50178.0,ABRAHAM INBAR,Unknown
50191.0,STEVEN B KLINSKY,Unknown
50192.0,RONALD A OSTERTAG,Unknown
50193.0,RONALD ROSENZWEIG,Unknown
50194.0,PETER A SCHWARTZ,Unknown
50195.0,SAMUEL L SIMMONS,Unknown
50196.0,JAMES C ALLEN,Unknown
50202.0,JEFFREY WEITZEN,Unknown
50209.0,GEORGE BERRY,Unknown
50228.0,JOHN K CLARKE,Unknown
50233.0,JAMES G COULTER,Unknown
50236.0,GERALD S CASILLI,Caucasian
50249.0,IVAN R SABEL,Unknown
50251.0,EDMOND E CHARRETTE,Unknown
50253.0,BOB BULLOCK,Unknown
50258.0,WILLIAM L MCCULLOCH,Unknown
50260.0,HE THRANHARDT,Unknown
50272.0,MARK E NUNNELLY,Unknown
50279.0,EDWARD K CHANDLER,Unknown
50281.0,JAMES E. MEYER,Caucasian
50282.0,THOMAS F FARB,Unknown
50283.0,CHARLES H GAYLORD JR,Unknown
50287.0,ROCCO A ORTENZIO,Unknown
50294.0,KENNETH GROSSMAN,Caucasian
50296.0,TERRY L. LAY,Caucasian
50300.0,NANCY A COLE,Unknown
50301.0,DONALD V BERLANTI,Unknown
50309.0,R CRAIG HOENSHELL,Unknown
50312.0,F ROBERT SALERNO,Unknown
50317.0,W ALUN CATHCART,Unknown
50331.0,DEBORAH L HARMON,Unknown
50332.0,MICHAEL J KENNEDY,Unknown
50344.0,WILLIAM M HABER,Unknown
50352.0,IRVING S JOHNSON,Unknown
50362.0,WILLIAM J. SHEA,Caucasian
50377.0,CARMIE MEHRLANDER,Unknown
50385.0,BARRY S CAIN,Unknown
50386.0,ROBERT P MAHER,Unknown
50391.0,KEVIN R HARVEY,Caucasian
50400.0,ROBERT E NORTHAM,Caucasian
50402.0,BRUCE B. CHURCHILL,Caucasian
50405.0,CYRUS TANG,
50407.0,RICHARD M WARDROP JR,Caucasian
50408.0,GUY W NICHOLS,Caucasian
50409.0,PAUL D CARBERY,Unknown
50410.0,EDWARD V SZOFER,Unknown
50411.0,ROBERT F BERNARD,Unknown
50412.0,JOSEPH R ETTORE,Unknown
50413.0,FRANCIS X BASILE,Unknown
50414.0,PAUL BUXBAUM,Unknown
50416.0,LAWRENCE P ROCHES,Unknown
50417.0,ROBERT F STEEL,Unknown
50418.0,RICHARD M FELNER,Unknown
50419.0,SIDNEY S PEARLMAN,Unknown
50435.0,CHARLES W ERGEN,Caucasian
50436.0,JAMES DEFRANCO,Caucasian
50437.0,DAVID K MOSKOWITZ,Unknown
50438.0,RAYMOND L FRIEDLOB,Unknown
50439.0,O NOLAN DAINES,Unknown
50440.0,BRUCE N WHITMAN,Caucasian
50443.0,SUSAN L. DECKER,Caucasian
50447.0,JOSEPH F DOX,Unknown
50452.0,ROBERT W HOLMAN JR,Unknown
50453.0,WILLIS ANDERSEN JR,Unknown
50459.0,GARY M PARSONS,Unknown
50463.0,DAVID E COHEN,Caucasian
50464.0,KAREN T. VAN LITH,Caucasian
50465.0,H ROBERT HAWTHORNE,Unknown
50468.0,WILLIAM T. BOEHM,Caucasian
50521.0,CHRISTOPHER B PAISLEY,Caucasian
50553.0,ROBERT J. DORIS,Unknown
50554.0,ALFRED E MANN,Caucasian
50555.0,DAVID CHERNOF,Unknown
50556.0,R LANGLEY,Unknown
50557.0,THOMAS R TESTMAN,Unknown
50558.0,JOHN C VILLFORTH,Unknown
50562.0,W HALL WENDEL JR,Caucasian
50596.0,CHARLES T CANNADA,Unknown
50599.0,EDWARD GRZEDZINSKI,Unknown
50601.0,STEPHEN E WALL,Unknown
50603.0,WILLIAM E CURRAN,Unknown
50615.0,SAMUEL ALTSCHULER,Unknown
50621.0,MAURICE M TAYLOR JR,Caucasian
50623.0,BRIAN FLYNN,Caucasian
50624.0,ANTHONY L SOAVE,Caucasian
50629.0,TIMOTHY MEEKER,Caucasian
50631.0,DARREN G. WOODY,Caucasian
50647.0,FABIAN T. GARCIA,Hispanic
50649.0,WILLIAM A HOGLUND,Unknown
50652.0,CHARLES HEILBRONN,Caucasian
50653.0,DANIEL R LYLE,Unknown
50662.0,BRADLEY T. MACDONALD,Caucasian
50663.0,DONALD F. REILLY,Caucasian
50664.0,MICHAEL C. MACDONALD,Caucasian
50672.0,GARY V WOODS,Unknown
50675.0,JASON S FISHERMAN,Unknown
50678.0,DAVID A ABRAHAMSON,Unknown
50686.0,V ORVILLE WRIGHT,Unknown
50687.0,SHIRLEY P JORDAN,Unknown
50688.0,MICHAEL V OPORTO,Unknown
50699.0,EDWARD D POWERS,Unknown
50701.0,JAMES H SIMONS,Unknown
50707.0,URI EVAN,Unknown
50708.0,JAMES JOHNSON,Caucasian
50709.0,CHRISTOPHER D ILLICK,Unknown
50714.0,DAVID C KING,Unknown
50715.0,RAYMOND CHIN,Unknown
50716.0,JEFFREY D SAPER,Unknown
50721.0,ELIZABETH BALLANTINE,Unknown
50722.0,LARRY JINKS,Unknown
50723.0,CLARK E MCLEOD,Unknown
50724.0,WILLIAM K COBLENTZ,Unknown
50725.0,MOLLY MALONEY EVANGELISTI,Unknown
50726.0,STEPHEN C GRAY,Unknown
50727.0,JOAN F LANE,Unknown
50729.0,BLAKE O FISHER JR,Unknown
50730.0,RONALD W STEPIEN,Unknown
50731.0,JAMES B MCCLATCHY,Unknown
50732.0,CAMPBELL B LANIER III,Unknown
50733.0,ALLEN E SMITH,Unknown
50734.0,DONALD W BURTON,Unknown
50737.0,WILLIAM B SCOTT III,Unknown
50741.0,D CLARK OGLE,Unknown
50744.0,C PHILLIP STANLEY,Unknown
50751.0,KIM JONES,Caucasian
50754.0,WILLIAM ELLERY MCCLATCHY,Unknown
50755.0,PETER BARNES,Caucasian
50757.0,ERWIN POTTS,Unknown
50763.0,JOSHUA H. LEVINE,Caucasian
50768.0,JAMES A SAALFIELD,Unknown
50770.0,VINCENT T DEVITA JR,Unknown
50771.0,ROBERT F GOLDHAMMER,Unknown
50772.0,DAVID M KIES,Unknown
50773.0,PAUL B KOPPERL,Unknown
50774.0,JOHN MENDELSOHN,Caucasian
50775.0,HARLAN W WAKSAL,Unknown
50776.0,SAMUEL D WAKSAL,Unknown
50777.0,JOHN J LEE,Unknown
50805.0,ANNIE MH CHAN,Unknown
50832.0,STEPHEN R BOVA,Unknown
50834.0,WILLIAM C. KIMBALL,Caucasian
50836.0,FRANK D. GUIDONE,Caucasian
50837.0,R. BARRY UBER,Caucasian
50875.0,MARILYN LLOYD,Unknown
50877.0,ROGER A RAMSEY,Unknown
50878.0,ALAN B SHEPARD,Unknown
50894.0,BRUCE J HABER,Caucasian
50896.0,LEONARD A DAVID,Caucasian
50918.0,WILLIAM G NELSON,Unknown
50921.0,JEFFREY J COLLINSON,Unknown
50923.0,STEVEN KOH,Asian
50924.0,SOO BONG MIN,Asian
50925.0,MEL ELLIOT,Unknown
50926.0,JAMES P KELLEY,Unknown
50927.0,GAPSU KIM,Asian
50928.0,KYU-HYUN KIM,Asian
50929.0,RICHARD LIM,Asian
50930.0,FRED MAUTNER,Unknown
50931.0,YOUNG HI PAK,Asian
50932.0,HARRY SIAFARIS,Caucasian
50933.0,THEODORE S HOCHSTIM,Caucasian
50941.0,JANET L EMERSON,Unknown
50942.0,WILSON K CADMAN,Unknown
50946.0,NEIL COLE,Unknown
50947.0,BARRY EMANUEL,Caucasian
50948.0,STEVEN MENDELOW,Caucasian
50951.0,JOHN A DOWNER,Unknown
50952.0,DREW COHEN,Caucasian
50956.0,ROBERT H BIRD,Unknown
50957.0,CAROLYN H CARLBURG,Unknown
50958.0,WILLIAM T CASPERS,Unknown
50959.0,SCOTT SHAY,Caucasian
50960.0,ELIZABETH CASPERS PETERS,Unknown
50961.0,DAVID K ROBINSON,Unknown
50981.0,RONALD W. KAISER,Caucasian
50983.0,DENIS R. BROWN,Unknown
50984.0,ANTHONY R. FABIANO,Caucasian
50985.0,ROGER P HEINISCH,Caucasian
50986.0,HAMILTON W HELMER,Caucasian
50988.0,ERNEST J. MONIZ,Caucasian
50990.0,GEORGE ELLIS,Caucasian
51000.0,ROBERT K DEVEER JR,Unknown
51001.0,CHARLES D EBERT,Unknown
51002.0,GREGORY HARDEN,Unknown
51003.0,J PETER FOBARE,Unknown
51004.0,CATHERINE H SUTTMEIER,Unknown
51007.0,JOSEPH A GRAZIANO,Unknown
51015.0,WILLIAM H TILLEY,Unknown
51027.0,MICHAEL A TZANNES,Unknown
51028.0,DAVID EHRETH,Unknown
51029.0,ALDOLPH A PFEFFER JR,Unknown
51030.0,JOHN K KERR,Unknown
51032.0,JUDITH E CAMPBELL,Unknown
51039.0,TRACY L SHELLABARGER,Caucasian
51040.0,LEONARD RIFKIN,Unknown
51043.0,WILLIAM D STRITTMATTER,Caucasian
51049.0,EDGAR F BERNER,Unknown
51053.0,ROBERT J. CORTI,Caucasian
51055.0,G DREW CONWAY,Caucasian
51056.0,AHMED D. HUSSEIN,Other
51057.0,JONATHAN JAVITT,Unknown
51058.0,VINCENT J LOVE,Unknown
51059.0,STEVEN T. PLOCHOCKI,Caucasian
51060.0,SHELDON RAZIN,Unknown
51061.0,THOMAS F. RYAN JR.,Caucasian
51063.0,MINORU NODA,Unknown
51064.0,CARL W ROBERTSON,Unknown
51065.0,TETSUO SHIMURA,Unknown
51066.0,HENRY T SWIGERT,Unknown
51067.0,TSUNEO WAKAI,Unknown
51068.0,ROBERT M WALKER,Unknown
51070.0,TAMOTSU YAMAGUCHI,Unknown
51071.0,KENJI YOSHIZAWA,
51074.0,ROBERT F JOHNSTON,Unknown
51076.0,JUDITH SHAPIRO,Caucasian
51084.0,ROBERT L HOVERSON,Caucasian
51090.0,ARTHUR H HAYES JR,Caucasian
51091.0,PAUL B GUENTHER,Unknown
51093.0,SUZANNE RHULEN LOUGHLIN,Caucasian
51095.0,ULF BOHLA,Unknown
51096.0,JERRY W BRAXTON,Unknown
51097.0,GEORGE S BLUMENTHAL,Unknown
51099.0,GEORGE F SCHMITT,Unknown
51100.0,WOLF J GAEDE,Unknown
51103.0,HARTMUT LADEMACHER,Caucasian
51104.0,JOSEPH A MOLLICA,Unknown
51106.0,MARK J WATTLES,Unknown
51107.0,DONALD J EKMAN,Unknown
51108.0,JAMES N CUTLER JR,Unknown
51114.0,COLIN BEAUMONT,Unknown
51124.0,WILLIAM B WEAVER,Unknown
51125.0,DAVID E MOORE,Unknown
51126.0,KEN J ELKINS,Unknown
51128.0,EMILY RAUH PULITZER,Caucasian
51131.0,JAMES M SNOWDEN JR,Unknown
51133.0,MICHAEL E PULITZER,Caucasian
51134.0,RODNEY K SARTOR,Unknown
51135.0,RONALD H RIDGWAY,Unknown
51137.0,WILLIAM BUSH,Unknown
51138.0,LOU A EDWARDS,Unknown
51141.0,WILLIAM T CARSON JR,Unknown
51144.0,JOHN A DONOHOE JR,Unknown
51149.0,A FRED RUTTENBERG,Unknown
51150.0,R TIMOTHY STACK,Unknown
51151.0,JAMES R EMSHOFF,Unknown
51152.0,DAVID A COHEN,Caucasian
51153.0,JOHN H UNDERWOOD,Unknown
51157.0,DAVID I SAPERSTEIN,Unknown
51158.0,CHARLES I BORTNICK,Unknown
51159.0,SHANE E COPPOLA,Unknown
51160.0,GARY L WOROBOW,Unknown
51161.0,JAMES A ARCARA,Unknown
51163.0,ROBERT M MIGGINS,Unknown
51164.0,KENIN M SPIVAK,Unknown
51165.0,GUY R DOLLE,Unknown
51166.0,GERARD PICARD,Unknown
51172.0,PATRICK M BYRNE,Unknown
51173.0,DARYL J CARTER,Unknown
51175.0,WILLIAM M KAHANE,Unknown
51176.0,DONALD J MCNAMARA,Unknown
51177.0,LESLIE D MICHELSON,Unknown
51179.0,JACQUELINE R SLATER,Unknown
51180.0,THOMAS M STEINBERG,Unknown
51187.0,WALTER W STRAUB,Unknown
51190.0,FREDERICK M HANEY,Unknown
51191.0,MARVIN HOFFMAN,Unknown
51192.0,ALAN K JENNINGS,Unknown
51210.0,VIRGINIA GEMMELL,Unknown
51213.0,WILLIAM L LARSON,Caucasian
51214.0,ALEC FLAMM,Unknown
51215.0,HAROLD RUTTENBERG,Caucasian
51216.0,BART STARR SR,Unknown
51217.0,RANDALL L HAINES,Unknown
51218.0,DAVID F BELLET,Unknown
51222.0,A GREIG WOODRING,Caucasian
51223.0,J CLIFF EASON,Unknown
51224.0,LEONARD M RUBENSTEIN,Unknown
51234.0,JEFFREY A MILLER,Unknown
51235.0,KATHRYN C GOULD,Unknown
51240.0,SIDNEY L MCDONALD,Unknown
51259.0,SANJIV S SIDHU,Unknown
51261.0,KANNA N SHARMA,Unknown
51271.0,MARC L ANDREESSEN,Unknown
51272.0,JAMES H CLARK,Unknown
51287.0,CHARLES M SMITH,Caucasian
51288.0,JOHN A BOOTY,Unknown
51291.0,DAVID P COLLINS,Unknown
51292.0,KENNETH M JACOBS,Unknown
51293.0,ANDREW H. MADSEN,Caucasian
51294.0,JOHN J RYDZEWSKI,Unknown
51295.0,JOHN J NUGENT,Caucasian
51314.0,FRANK J SIXT,Unknown
51316.0,MICHAEL F GOSS,Unknown
51318.0,TIMOTHY O FISHER,Unknown
51328.0,DOUGLAS G SMITH,Unknown
51329.0,RICHARD L FIELDS,Unknown
51330.0,PAUL J FINNEGAN,Unknown
51331.0,EVELYN GOLDFINE,Unknown
51332.0,ARJUN GUPTA,Unknown
51333.0,JAMES N PERRY JR,Unknown
51334.0,JAMES J ROSS,Unknown
51346.0,J COLGATE,Caucasian
51347.0,DARREN M. DAWSON,Caucasian
51348.0,ISABELLE C. GOOSSEN,Caucasian
51357.0,MICHAEL R. BURNS,Caucasian
51360.0,GRANVILLE E CONWAY,Unknown
51364.0,ANTOON KIENHUIS,Unknown
51369.0,PHILIP B MILLER,Unknown
51372.0,CHARLES J PHILIPPIN,Unknown
51384.0,W BLAKE WINCHELL,Unknown
51386.0,JOHN R MCKEAN,Unknown
51388.0,PAULA R COLLINS,Unknown
51389.0,THOMAS M FOSTER,Unknown
51398.0,EUGENE B DOGGETT,Unknown
51400.0,C RICHARD REESE,Unknown
51422.0,ANDREI KOZYREV,Caucasian
51444.0,EUGENE CORDES,Unknown
51446.0,JOAN K SHAFRAN,Unknown
51448.0,SAMUEL H MILLER,Unknown
51451.0,JAMES A RATNER,Caucasian
51452.0,JERRY V JARRETT,Unknown
51453.0,RONALD A RATNER,Caucasian
51454.0,BRIAN J RATNER,Caucasian
51455.0,KAY COLES JAMES,
51456.0,DEBORAH RATNER SALZBERG,Caucasian
51471.0,LAWRENCE L GARLICK,Caucasian
51472.0,DAVID A MAHLER,Unknown
51473.0,JOHN F SHOCH,Unknown
51477.0,ADRIAN M. JONES,Caucasian
51482.0,JOHN J. MORRISSEY,Caucasian
51489.0,ANDREW SB KNIGHT,Unknown
51499.0,JOHN W DREYER,Unknown
51504.0,JOHN H FRIED,Unknown
51510.0,ANDREA GUERRA,Caucasian
51556.0,BARRANT V MERRILL,Caucasian
51559.0,H TOM BUELTER,Caucasian
51565.0,ANU D SAAD,Unknown
51568.0,MARCEL ROZENCWEIG,Unknown
51570.0,BRUCE W KRYSIAK,Unknown
51576.0,RICHARD W MILLER,Unknown
51592.0,LOWELL E SEARS,Unknown
51596.0,MICHEL BERTY,Unknown
51598.0,J GORDON GARRETT,Unknown
51600.0,ED YOURDON,Unknown
51624.0,PAUL J QUAST,Unknown
51633.0,GARY E PRIMM,Unknown
51640.0,PHILIP TRAHANAS,Caucasian
51642.0,TRUDY B CUNNINGHAM,Unknown
51644.0,MARLEY R GROSS,Unknown
51647.0,RICHARD M CLONEY,Unknown
51649.0,EDWARD W HELFRICK,Unknown
51650.0,C WILLIAM HETZER JR,Unknown
51652.0,GEORGE J MORGAN,Unknown
51672.0,JERONIMO ARANGO,Caucasian
51678.0,OLAF OLAFSSON,Unknown
51680.0,JOHN VAKOUTIS,Unknown
51681.0,GERARDO CANET,Unknown
51684.0,AVIGDOR WILLENZ,Asian
51685.0,DANIEL A GREGORIE,Unknown
51693.0,EMMETT LESCROART,Caucasian
51702.0,SAUL SCHOTTENSTEIN,Unknown
51707.0,MARTIN P DOOLAN,Unknown
51708.0,GILBERT W HARRISON,Unknown
51710.0,THOMAS R KETTELER,Unknown
51727.0,GREGORY HARRISON,Unknown
51759.0,PHILIP J HAWK,Caucasian
51766.0,MCHENRY T TICHENOR,Unknown
51767.0,ROBERT W HUGHES,Unknown
51769.0,ERNESTO CRUZ,Unknown
51772.0,JAY W SHIVELEY III,Unknown
51784.0,LOU WEISBACH,Caucasian
51785.0,LINDEN D NELSON,Unknown
51786.0,SEYMOUR N OKNER,Unknown
51787.0,RICHARD A MAGID,Unknown
51788.0,DAVID C ROBBINS,Unknown
51789.0,THOMAS HERSKOVITS,Unknown
51790.0,JORDON R KATZ,Unknown
51791.0,MARSHALL J KATZ,Unknown
51792.0,NEIL A RAMO,Unknown
51793.0,ROBERT SOSNICK,Caucasian
51794.0,ROSALIO J LOPEZ,Hispanic
51795.0,WALTER T MULLIKIN,Unknown
51796.0,JOHN S MCDONALD,Unknown
51801.0,MICHAEL A CHOWDRY,Unknown
51803.0,RICHARD H SHUYLER,Unknown
51813.0,JOHN D BOWER,Caucasian
51814.0,KENNETH E JOHNSON,Caucasian
51815.0,CARTER F PAGE,Unknown
51816.0,W TOM MEREDITH,Caucasian
51818.0,SAM A BROOKS,Caucasian
51820.0,ROBERT M WALP,Unknown
51821.0,JEFFERY C GARVEY,Unknown
51822.0,KALPANA MORPARIA,Asian
51824.0,DONALD LYNCH,Unknown
51833.0,K. VAMAN KAMATH,Asian
51838.0,ALLAN W KARP,Unknown
51841.0,FRANK DOCZI,Unknown
51876.0,BARRY F SCHWARTZ,Unknown
51894.0,CHARLES M FERNANDEZ,Unknown
51915.0,JOHN J. ZILLMER,Caucasian
51922.0,DAVID B FLEEMAN,Unknown
51925.0,ROBERTO MOTTA,Unknown
51927.0,JOSEPH G. DOODY,Caucasian
51928.0,KATHY BRONSTEIN,Unknown
51929.0,STEPHEN GROSS,Unknown
51930.0,WILFRED POSLUNS,Unknown
51931.0,GERALD RANDOLPH,Unknown
51932.0,IRVING TEITELBAUM,Unknown
51937.0,FRED R. ADAMS JR.,Caucasian
51938.0,RICHARD K. LOOPER,Caucasian
51940.0,JAMES E. POOLE,Caucasian
51941.0,R TRIPLETT,Unknown
51942.0,LETITIA C. HUGHES,Caucasian
51944.0,J BARRY MASON,Unknown
51945.0,TERRY C ANDERSON,Unknown
51959.0,MEL G. BREKHUS,Unknown
51983.0,ALAIN M OBERROTMAN,Unknown
51986.0,PAUL M VERROCHI,Unknown
51987.0,STEVEN S HARTER,Unknown
51988.0,GERALD MERCADANTE,Unknown
51989.0,JOHN MERCADANTE JR,Unknown
51990.0,FRANK P GALLAGHER,Unknown
51991.0,LAWRENCE K KING,Unknown
51995.0,JOSEPH E MAROUN,Unknown
51996.0,LIH SHYNG TSAI,Asian
52019.0,KAMRAN ELAHIAN,Unknown
52029.0,MARK H RACHESKY,Unknown
52047.0,THOMAS C DOLAN,Caucasian
52056.0,JOHN J HEALY JR,Unknown
52057.0,BRENDA J MIXSON,Unknown
52063.0,JAMES ERMER,Unknown
52064.0,J GARNETT NELSON,Unknown
52076.0,WILLIAM F GRUN,Unknown
52078.0,LARRY S BARELS,Unknown
52082.0,DAVID A PURCELL,Unknown
52088.0,CRAIG S ANDREWS,Unknown
52089.0,RONALD J HALL,Unknown
52090.0,HOWARD L JENKINS,Unknown
52091.0,RICHARD A PLANTE,Unknown
52095.0,CHARLES E. PHILLIPS JR.,African-American
52122.0,EA JAKSA JR,Unknown
52125.0,JAMES E MASUCCI,Unknown
52155.0,AUBREY C LEWIS,Unknown
52156.0,LIZA M WALSH,Unknown
52158.0,DEAN J TAKAHASHI,Unknown
52169.0,H WAYNE SNAVELY,Unknown
52173.0,STEPHEN J SHUGERMAN,Unknown
52196.0,FREDERICK H STEPHENS JR,Unknown
52198.0,GERALD FICKENSCHER,Caucasian
52199.0,CHARLES H. CANNON JR.,Caucasian
52216.0,THOMAS F. CHEN,Asian
52222.0,ROBIN D CAMPBELL,Unknown
52252.0,BRIAN B SMITH,Unknown
52253.0,IRWIN N GOLD,Unknown
52254.0,PETER V HANDAL,Unknown
52255.0,CLAUDIO OSORIO,Unknown
52257.0,CARSTEN FRANK,Unknown
52258.0,ANTONIO BOCCALANDRO,Unknown
52259.0,ZBYNEK KRAUS,Unknown
52261.0,BERND KARRE,Unknown
52262.0,PIERINO LARDI,Unknown
52263.0,DONALD WINSTEAD,Unknown
52265.0,JONATHAN M SPILLER,Unknown
52269.0,ALAIR A TOWNSEND,Unknown
52303.0,JOHN N PALMER,Caucasian
52313.0,WILLIAM P CODY,Caucasian
52321.0,STEPHAN A MORSE,Caucasian
52333.0,DAVID YING,Unknown
52334.0,TIMOTHY J CLARK,Unknown
52335.0,HORST KUKWA-LEMMERZ,Unknown
52336.0,JEFFREY LIGHTCAP,Unknown
52337.0,CLEVELAND A CHRISTOPHE,Unknown
52338.0,WEINAND MEILICKE,Unknown
52339.0,JOHN S RODEWIG,Unknown
52342.0,DAVID A GARDNER,Unknown
52350.0,ROY A WHITFIELD,Caucasian
52352.0,RANDAL W SCOTT,Caucasian
52359.0,FRANK C BECKER,Unknown
52360.0,JOHN W SAYWARD,Unknown
52362.0,NATHAN KANTOR,Unknown
52363.0,WILLIAM J ROUHANA JR,Caucasian
52364.0,STEVEN B MAGYAR,Unknown
52365.0,WILLIAM J VANDEN HEUVEL,Unknown
52372.0,IRA D COHEN,Unknown
52380.0,DOUGLAS D. TOUGH,Caucasian
52384.0,RALPH A. HILL,Caucasian
52385.0,DAVID L MAHER,Unknown
52393.0,ALLEN H ORBUCH,Unknown
52402.0,ALEC COVINGTON,Caucasian
52407.0,TOM L WARD,Caucasian
52409.0,WALTER C WILSON,Unknown
52411.0,SHANNON T SELF,Caucasian
52412.0,L DOUGLAS WILDER,Caucasian
52413.0,STEPHEN WESTERFIELD,Unknown
52436.0,ROBERT A WHITMAN,Caucasian
52456.0,JONATHAN D SOKOLOFF,Unknown
52457.0,A. A. BUSCH III,Unknown
52470.0,CHARLES J DELANEY,Unknown
52483.0,STUART W CLIFTON,Unknown
52497.0,I. MARTIN INGLIS,Unknown
52498.0,PETER N. STEPHANS,Caucasian
52502.0,CHARLES A DICKINSON,Unknown
