dirid,fullname,ethnicity
289.0,LARRY D. BRADY,Caucasian
290.0,RICHARD J SWIFT,Caucasian
291.0,JAMES L BROADHEAD,Caucasian
292.0,DALE P JONES,Unknown
293.0,RICHARD A SMITH,Caucasian
294.0,ROBERT A SMITH,Caucasian
296.0,ALAN HASSENFELD,Caucasian
297.0,ALFRED VERRECCHIA,Caucasian
299.0,PRESTON R TISCH,Caucasian
300.0,CARL SPIELVOGEL,Caucasian
301.0,HENRY TAUB,Unknown
302.0,HANS HELMERICH,Caucasian
303.0,GEORGE S DOTSON,Caucasian
304.0,WALTER H HELMERICH III,Caucasian
305.0,R KEITH ELLIOTT,Caucasian
306.0,JOSEPH P VIVIANO,Caucasian
307.0,KENNETH L WOLFE,Unknown
308.0,LEWIS E PLATT,Caucasian
309.0,ROBERT P. WAYMAN,Caucasian
310.0,RICHARD A HACKBORN,Caucasian
311.0,WILLIAM BARRON HILTON,Unknown
312.0,ARTHUR M. BLANK,Caucasian
314.0,KENNETH G LANGONE,Caucasian
315.0,MICHAEL R BONSIGNORE,Caucasian
317.0,DON D JORDAN,Caucasian
318.0,HAROLD B SMITH,Caucasian
319.0,JAMES E PERRELLA,Caucasian
320.0,CRAIG R BARRETT,Caucasian
321.0,ANDREW S GROVE,Unknown
324.0,EUGENE P BEARD,Unknown
325.0,PHILIP H GEIER JR,Caucasian
329.0,JOHN T. DILLON,Caucasian
330.0,RAND V ARASKOG,Caucasian
331.0,SIDNEY TAUREL,Caucasian
333.0,AUGUST M WATANABE,
334.0,LESLIE WEXNER,Caucasian
335.0,MARTIN TRUST,Unknown
336.0,IAN M. ROLLAND,Caucasian
338.0,ROBERT M LONG,Caucasian
341.0,PIERRE S DU PONT IV,Caucasian
342.0,ALFRED M. RANKIN JR.,Caucasian
345.0,EDWARD J. MOONEY,Caucasian
346.0,CHARLES W COKER,Caucasian
350.0,WILLIAM P SOVEY,Caucasian
353.0,RONALD C CAMBRE,Caucasian
354.0,WILLIAM E. DAVIS,Caucasian
357.0,THOMAS L FISHER,Caucasian
358.0,JOHN H. BIRDSALL III,Caucasian
359.0,D WAYNE GITTINGER,Unknown
360.0,DAVID R. GOODE,Caucasian
361.0,LANDON HILLIARD,Caucasian
362.0,GERALD L BALILES,Caucasian
363.0,JAMES J HOWARD,Caucasian
364.0,RICHARD M. KOVACEVICH,Caucasian
365.0,CYNTHIA H MILLIGAN,Caucasian
366.0,LARRY W SONSINI,Unknown
367.0,JOHN D. CORRENTI,Caucasian
370.0,FREDERIC V. SALERNO,Caucasian
371.0,IVAN G. SEIDENBERG,Caucasian
372.0,STANLEY P GOLDSTEIN,Caucasian
373.0,DOUGLAS C YEARLEY,Caucasian
